Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Process Graph Metrics,without_noise,log_52_1687182004,0.05,300.0,500.0,,[1375],"[1221, 1560]",0.6666666666666666,154.0,00:00:01,1.0045466320589185,0.00034133422767887136,,,,,,,
Process Graph Metrics,without_noise,log_58_1687182010,0.1,100.0,500.0,,[653],[566],1.0,87.0,00:00:01,1.7701814388856292,0.001068950144254607,,,,,,,
Process Graph Metrics,without_noise,log_40_1687181982,0.005,400.0,500.0,,"[1312, 2352, 4626]","[1205, 2115, 3442]",0.3333333333333333,107.0,00:00:02,2.6532313525676727,0.0005902628148092709,,,,,,,
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,300.0,500.0,20.0,"[664, 1406, 2873, 3106]","[627, 835, 1407, 2856, 3239]",0.888888888888889,47.0,00:00:06,6.443734620697796,0.0014512915812382424,,,,,,,
Martjushev ADWIN J,without_noise,log_87_1687182053,0.4,400.0,400.0,10.0,"[629, 1360, 2866, 3602]","[1385, 2862, 3527, 3777]",0.75,34.666666666666664,00:00:18,18.377818030305207,0.004017009405531193,,,,,,,
LCDD,without_noise,log_43_1687181986,,,,,"[223, 472, 672, 878, 1086, 1322, 1658, 1877, 2106, 2365, 2568, 2777, 2999, 3266, 3504, 3736, 3936, 4222]","[979, 1204, 2415, 2632, 3669]",0.4347826086956522,80.0,00:00:00,0.2087832447141409,4.862208773035419e-05,,,200.0,200.0,50.0,,
Process Graph Metrics,without_noise,log_83_1687182046,0.05,300.0,500.0,,"[1239, 2744]","[1171, 1687, 2573, 2813]",0.6666666666666666,68.5,00:00:04,4.7966222036629915,0.001316306861597967,,,,,,,
Process Graph Metrics,without_noise,log_90_1687182058,0.005,200.0,400.0,,[673],[652],1.0,21.0,00:00:01,1.707189990207553,0.0009085630602488307,,,,,,,
LCDD,without_noise,log_48_1687181998,,,,,"[205, 405, 652, 1005, 1274, 1642, 1842, 2077, 2361, 2656, 2859, 3139, 3345, 3567, 3775, 4040, 4262]","[1144, 2359, 2666, 3482, 3756]",0.45454545454545453,49.2,00:00:00,0.07438785675913095,1.733174668199696e-05,,,200.0,200.0,5.0,,
Martjushev ADWIN J,without_noise,log_39_1687181976,0.4,200.0,400.0,50.0,"[1899, 3350, 3901]","[706, 972, 2184, 3059, 3368]",0.25,18.0,00:01:42,102.392144870013,0.024408139420742072,,,,,,,
Earth Mover's Distance,without_noise,log_17_1687181934,,,,,"[494, 1214, 2036, 2486, 3904, 4454]","[975, 1309, 2437, 2652, 3899]",0.5454545454545454,49.666666666666664,00:09:30,570.0503396792337,0.11710154882482204,300.0,2.0,,,,,
LCDD,without_noise,log_23_1687181942,,,,,[858],"[859, 1255, 2629, 4001, 4377]",0.33333333333333337,1.0,00:00:00,0.6351264510303736,0.00011454038792252003,,,200.0,200.0,100.0,,
LCDD,without_noise,log_55_1687182006,,,,,[1184],"[1185, 1392]",0.6666666666666666,1.0,00:00:00,0.026525728404521942,9.638709449317566e-06,,,200.0,200.0,10.0,,
Maaradji Runs,without_noise,log_63_1687182017,,,,,[],"[727, 968, 1760, 2588, 2871]",,,00:00:43,43.37737229373306,0.010213650175119628,50.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_73_1687182035,0.4,400.0,400.0,10.0,"[1499, 2450]","[1478, 2417, 2951, 3283]",0.6666666666666666,27.0,00:00:12,12.999510335735977,0.0029199259514231754,,,,,,,
LCDD,without_noise,log_13_1687181932,,,,,[626],"[627, 835, 1407, 2856, 3239]",0.33333333333333337,1.0,00:00:00,0.11438300367444754,2.576193776451521e-05,,,100.0,100.0,10.0,,
LCDD,without_noise,log_54_1687182005,,,,,[1170],"[1171, 1523, 2987, 3886, 4123]",0.33333333333333337,1.0,00:00:00,0.12431264203041792,2.578030734766029e-05,,,100.0,100.0,5.0,,
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:01,1.9800812294706702,0.00042784814811380083,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:01,1.9800812294706702,0.00042784814811380083,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:01,1.9800812294706702,0.00042784814811380083,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:01,1.9800812294706702,0.00042784814811380083,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:01,1.9800812294706702,0.00042784814811380083,,,,,,500.0,250.0
LCDD,without_noise,log_10_1687181929,,,,,"[316, 620, 920, 1259, 1579, 1904, 2246, 2564]","[1446, 1821]",0.4,108.0,00:00:00,0.1194816343486309,4.636462334056302e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_5_1687181922,0.4,300.0,500.0,10.0,[829],"[689, 980]",0.6666666666666666,140.0,00:00:22,22.99534235522151,0.013550584770313205,,,,,,,
Process Graph Metrics,without_noise,log_49_1687181999,0.005,300.0,500.0,,[],"[605, 889]",,,00:00:08,8.00197113584727,0.004348897356438734,,,,,,,
LCDD,without_noise,log_7_1687181925,,,,,[1719],"[920, 1720, 2103, 3052, 3413]",0.33333333333333337,1.0,00:00:00,0.13171543460339308,2.7723728605218495e-05,,,200.0,200.0,100.0,,
Process Graph Metrics,without_noise,log_86_1687182053,0.005,100.0,400.0,,"[312, 1008, 1338, 1878]",[931],0.4,77.0,00:00:01,1.9429320180788636,0.0011315853337675384,,,,,,,
Maaradji Runs,without_noise,log_7_1687181925,,,,,[906],"[920, 1720, 2103, 3052, 3413]",0.33333333333333337,14.0,00:00:01,1.1300844494253397,0.00023786243936546825,50.0,2.0,,,,,
Bose J,without_noise,log_99_1687182077,,,,,[2768],"[555, 837, 2088, 2767]",0.4,1.0,00:02:04,124.08367538359016,0.036452313567447166,100.0,2.0,,,,,
Bose WC,without_noise,log_99_1687182077,,,,,[],"[555, 837, 2088, 2767]",,,00:01:57,117.20945657044649,0.034432860332093564,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_74_1687182036,0.05,400.0,400.0,,[906],[839],1.0,67.0,00:00:03,3.1415768302977085,0.0022391851962207474,,,,,,,
Process Graph Metrics,without_noise,log_75_1687182036,0.05,300.0,400.0,,[1289],"[1099, 1445]",0.6666666666666666,156.0,00:00:03,3.2236328283324838,0.0013865087433688101,,,,,,,
Maaradji Runs,without_noise,log_46_1687181991,,,,,[],"[808, 1008, 2422, 3892]",,,00:00:44,44.97430084273219,0.009717869672154753,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_22_1687181941,0.005,200.0,500.0,,[1279],"[1159, 1512, 2578, 3506, 3838]",0.33333333333333337,120.0,00:00:06,6.549799980595708,0.0013962481305895775,,,,,,,
LCDD,without_noise,log_47_1687181994,,,,,"[251, 549, 836, 1075, 1443, 1717, 2016, 2230]","[1076, 1388]",0.4,28.0,00:00:00,0.18642475083470345,7.436168760857736e-05,,,200.0,200.0,200.0,,
Process Graph Metrics,without_noise,log_98_1687182076,0.1,100.0,400.0,,"[450, 1085]","[896, 1153]",0.5,68.0,00:00:03,3.1290334733203053,0.001774834641701818,,,,,,,
Process Graph Metrics,without_noise,log_15_1687181933,0.0001,100.0,400.0,,[1296],"[957, 1345]",0.6666666666666666,49.0,00:00:05,5.859987948089838,0.0022289798204982265,,,,,,,
LCDD,without_noise,log_22_1687181941,,,,,"[1158, 3506]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,0.5,00:00:00,0.12892998475581408,2.7484541623494793e-05,,,200.0,200.0,10.0,,
Martjushev ADWIN J,without_noise,log_5_1687181922,0.4,100.0,500.0,10.0,[829],"[689, 980]",0.6666666666666666,140.0,00:00:27,27.04639252088964,0.015937768132521887,,,,,,,
Process Graph Metrics,without_noise,log_40_1687181982,0.0001,100.0,400.0,,[2180],"[1205, 2115, 3442]",0.5,65.0,00:00:03,3.4926034715026617,0.0007769974352619937,,,,,,,
Earth Mover's Distance,without_noise,log_58_1687182010,,,,,[564],[566],1.0,2.0,00:00:00,0.3106892118230462,0.00018761425834725012,200.0,2.0,,,,,
Zheng DBSCAN,without_noise,log_16_1687181934,,,,,"[1220.2, 1279.0, 1391.0, 1469.0, 1721.0, 1795.0, 2717.0, 2777.2, 3059.0, 3399.0]","[1218, 1793, 2771]",0.4615384615384615,3.466666666666621,00:00:01,1.7994864862412214,0.00044585889153647706,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_16_1687181934,,,,,"[1230.0, 1391.0, 1469.0, 1784.4285714285713, 2767.1666666666665, 3059.0, 3399.0]","[1218, 1793, 2771]",0.6,8.134920634920718,00:00:01,1.7994864862412214,0.00044585889153647706,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_16_1687181934,,,,,"[1230.0, 1430.0, 1784.4285714285713, 2767.1666666666665, 3059.0, 3399.0]","[1218, 1793, 2771]",0.6666666666666666,8.134920634920718,00:00:01,1.7994864862412214,0.00044585889153647706,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_16_1687181934,,,,,"[1280.0, 1784.4285714285713, 2767.1666666666665, 3059.0, 3399.0]","[1218, 1793, 2771]",0.7499999999999999,24.801587301587386,00:00:01,1.7994864862412214,0.00044585889153647706,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_16_1687181934,,,,,"[1280.0, 1784.4285714285713, 2767.1666666666665, 3059.0, 3399.0]","[1218, 1793, 2771]",0.7499999999999999,24.801587301587386,00:00:01,1.7994864862412214,0.00044585889153647706,,,,,,300.0,150.0
Martjushev ADWIN J,without_noise,log_97_1687182074,0.4,400.0,400.0,20.0,"[1059, 2320, 3601]","[1151, 2334, 3469, 3787]",0.8571428571428571,79.33333333333333,00:00:24,24.021873334422708,0.004818831160365638,,,,,,,
LCDD,without_noise,log_55_1687182006,,,,,[1184],"[1185, 1392]",0.6666666666666666,1.0,00:00:00,0.057898071594536304,2.103854345731697e-05,,,100.0,100.0,20.0,,
Martjushev ADWIN J,without_noise,log_60_1687182015,0.4,400.0,500.0,50.0,[674],[694],1.0,20.0,00:00:20,20.047056226991117,0.009433908812701702,,,,,,,
Bose J,without_noise,log_8_1687181927,,,,,[880],"[778, 1133]",0.6666666666666666,102.0,00:02:40,160.25042011588812,0.07043974510588488,200.0,2.0,,,,,
Bose WC,without_noise,log_8_1687181927,,,,,[],"[778, 1133]",,,00:02:51,171.34908751118928,0.07531828022469858,200.0,2.0,,,,,
Earth Mover's Distance,without_noise,log_67_1687182023,,,,,"[510, 828, 1026, 1038, 2286, 3128, 3684]","[933, 1145, 2289, 3129]",0.7272727272727273,51.0,00:00:00,0.5950712198391557,0.00013387429017753784,300.0,2.0,,,,,
LCDD,without_noise,log_12_1687181931,,,,,[],"[969, 1263]",,,00:00:00,0.029293738305568695,1.650351453834856e-05,,,200.0,200.0,150.0,,
Martjushev ADWIN J,without_noise,log_63_1687182017,0.4,100.0,400.0,50.0,[],"[727, 968, 1760, 2588, 2871]",,,00:00:18,18.640105737373233,0.00438900535374929,,,,,,,
Maaradji Runs,without_noise,log_15_1687181933,,,,,[948],"[957, 1345]",0.6666666666666666,9.0,00:00:00,0.6315543074160814,0.00024022605835529915,150.0,2.0,,,,,
LCDD,without_noise,log_70_1687182031,,,,,[607],[608],1.0,1.0,00:00:00,0.16564723942428827,0.00011260859240264329,,,200.0,200.0,5.0,,
Bose J,without_noise,log_17_1687181934,,,,,"[532, 1140, 2518, 3330, 3896]","[975, 1309, 2437, 2652, 3899]",0.6,83.0,00:04:14,254.66932961624116,0.05231498143308159,300.0,2.0,,,,,
Bose WC,without_noise,log_17_1687181934,,,,,"[2652, 3820]","[975, 1309, 2437, 2652, 3899]",0.5714285714285715,39.5,00:04:22,262.31940337084234,0.053886483847749043,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_12_1687181931,0.0001,100.0,400.0,,[],"[969, 1263]",,,00:00:05,5.945455455221236,0.0033495523691387244,,,,,,,
Martjushev J,without_noise,log_23_1687181942,0.55,,,,"[337, 807, 2411, 2636, 2956, 3423, 3712, 4592, 5065]","[859, 1255, 2629, 4001, 4377]",0.2857142857142857,29.5,00:09:37,577.7193960146978,0.10418744743276787,100.0,,,,,,
Process Graph Metrics,without_noise,log_77_1687182038,0.05,300.0,400.0,,"[660, 2055, 3305]","[560, 1784, 3134]",0.6666666666666666,135.5,00:00:05,5.193309145979583,0.001147185585593016,,,,,,,
Martjushev ADWIN J,without_noise,log_72_1687182033,0.4,300.0,500.0,20.0,[749],"[661, 974]",0.6666666666666666,88.0,00:00:21,21.370315774343908,0.014115135914361894,,,,,,,
Process Graph Metrics,without_noise,log_81_1687182043,0.05,200.0,400.0,,[901],"[751, 1119]",0.6666666666666666,150.0,00:00:02,2.4034724719822407,0.0013076564047781506,,,,,,,
Martjushev ADWIN J,without_noise,log_23_1687181942,0.4,400.0,500.0,50.0,"[849, 2650, 3801]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,77.0,00:01:48,108.04613696970046,0.01948532677541938,,,,,,,
Process Graph Metrics,without_noise,log_78_1687182040,0.005,400.0,400.0,,[803],[743],1.0,60.0,00:00:01,1.0492725651711226,0.0004692632223484448,,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.1,400.0,400.0,,"[779, 2029, 3377]","[605, 944, 1861, 2203, 3080, 3444]",0.6666666666666666,133.33333333333334,00:00:15,15.896758366376162,0.0038085190144648206,,,,,,,
LCDD,without_noise,log_29_1687181956,,,,,"[165, 288, 562, 662, 809, 979, 1090, 1190]","[516, 766]",0.4,44.5,00:00:00,0.02613603137433529,1.728573503593604e-05,,,100.0,100.0,150.0,,
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,100.0,500.0,50.0,[],"[1218, 1793, 2771]",,,00:00:19,19.45220182556659,0.0048196733958291845,,,,,,,
Process Graph Metrics,without_noise,log_36_1687181970,0.0001,100.0,400.0,,"[912, 1698]","[754, 1601, 2593]",0.8,127.5,00:00:08,8.477899642661214,0.0023019005274670687,,,,,,,
Process Graph Metrics,without_noise,log_35_1687181968,0.05,400.0,500.0,,"[1070, 3985, 4780]","[842, 1057, 2418, 2651, 3788, 4180]",0.4444444444444444,104.0,00:00:06,6.23144300095737,0.00110978504024174,,,,,,,
LCDD,without_noise,log_21_1687181940,,,,,"[116, 292, 401, 533, 648, 764, 869, 996, 1107, 1228, 1339, 1479, 1595, 1695]",[668],0.13333333333333333,20.0,00:00:00,0.07706747204065323,4.179363993527832e-05,,,100.0,100.0,5.0,,
Maaradji Runs,without_noise,log_95_1687182068,,,,,[],"[561, 936, 2338, 2712, 4212]",,,00:07:19,439.5282187629491,0.07791672022034198,150.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_37_1687181973,0.4,400.0,400.0,50.0,[],[1428],,,00:00:15,15.675076898187399,0.0075798244188527075,,,,,,,
Process Graph Metrics,without_noise,log_83_1687182046,0.05,300.0,400.0,,"[1221, 2904]","[1171, 1687, 2573, 2813]",0.6666666666666666,70.5,00:00:03,3.5541049987077713,0.0009753306802161831,,,,,,,
Martjushev J,without_noise,log_24_1687181949,0.55,,,,[],"[994, 1238]",,,00:00:37,37.540247924625874,0.015602763060941759,100.0,,,,,,
LCDD,without_noise,log_26_1687181951,,,,,"[1393, 1693]","[1394, 1683]",1.0,5.5,00:00:00,0.09457120858132839,3.48713895948851e-05,,,300.0,300.0,50.0,,
Process Graph Metrics,without_noise,log_26_1687181951,0.1,300.0,400.0,,[1512],"[1394, 1683]",0.6666666666666666,118.0,00:00:03,3.0522678941488266,0.0011254675125917503,,,,,,,
Process Graph Metrics,without_noise,log_53_1687182005,0.1,200.0,500.0,,"[812, 1187]","[1024, 1283]",0.5,96.0,00:00:01,1.851817429997027,0.0007757928068693032,,,,,,,
Process Graph Metrics,without_noise,log_6_1687181923,0.0001,400.0,400.0,,"[2082, 3332]","[923, 1989, 3141]",0.8,142.0,00:00:06,6.0875939298421144,0.001383229704576713,,,,,,,
Process Graph Metrics,without_noise,log_37_1687181973,0.05,100.0,500.0,,"[264, 739, 1418, 2066]",[1428],0.4,10.0,00:00:05,5.755138250999153,0.002782948864119513,,,,,,,
LCDD,without_noise,log_58_1687182010,,,,,[566],[566],1.0,0.0,00:00:00,0.028972814790904522,1.7495661105618672e-05,,,100.0,100.0,200.0,,
Martjushev ADWIN J,without_noise,log_78_1687182040,0.4,400.0,500.0,10.0,[742],[743],1.0,1.0,00:00:02,2.8788657020777464,0.0012875070223961299,,,,,,,
LCDD,without_noise,log_46_1687181991,,,,,[808],"[808, 1008, 2422, 3892]",0.4,0.0,00:00:00,0.17165809590369463,3.7091204819294433e-05,,,300.0,300.0,10.0,,
Martjushev ADWIN J,without_noise,log_45_1687181991,0.4,100.0,500.0,20.0,[542],[546],1.0,4.0,00:00:01,1.935036621056497,0.0014083235961109878,,,,,,,
LCDD,without_noise,log_60_1687182015,,,,,"[200, 403, 693, 893, 1122, 1358, 1562, 1770, 1975]",[694],0.19999999999999998,1.0,00:00:00,0.06812650617212057,3.205953231629203e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_70_1687182031,0.4,400.0,400.0,10.0,[],[608],,,00:00:08,8.734960886649787,0.0059381107319169185,,,,,,,
LCDD,without_noise,log_37_1687181973,,,,,[1427],[1428],1.0,1.0,00:00:00,0.08246902097016573,3.987863683276873e-05,,,200.0,200.0,20.0,,
Zheng DBSCAN,without_noise,log_41_1687181983,,,,,"[600.0, 889.0, 2385.5, 2420.0, 2459.0, 3521.3333333333335, 3578.0]","[601, 890, 2386, 2718, 3227, 3580]",0.6153846153846153,1.125,00:00:00,0.3586708502843976,7.491036973358346e-05,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_41_1687181983,,,,,"[600.0, 889.0, 2415.0, 3549.6666666666665]","[601, 890, 2386, 2718, 3227, 3580]",0.8,15.333333333333371,00:00:00,0.3586708502843976,7.491036973358346e-05,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_41_1687181983,,,,,"[600.0, 889.0, 2415.0, 3549.6666666666665]","[601, 890, 2386, 2718, 3227, 3580]",0.8,15.333333333333371,00:00:00,0.3586708502843976,7.491036973358346e-05,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_41_1687181983,,,,,"[600.0, 889.0, 2415.0, 3549.6666666666665]","[601, 890, 2386, 2718, 3227, 3580]",0.8,15.333333333333371,00:00:00,0.3586708502843976,7.491036973358346e-05,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_41_1687181983,,,,,"[600.0, 889.0, 2415.0, 3549.6666666666665]","[601, 890, 2386, 2718, 3227, 3580]",0.8,15.333333333333371,00:00:00,0.3586708502843976,7.491036973358346e-05,,,,,,300.0,150.0
LCDD,without_noise,log_60_1687182015,,,,,"[200, 403, 693, 893, 1122, 1358, 1562, 1770, 1975]",[694],0.19999999999999998,1.0,00:00:00,0.06722202152013779,3.163389248006484e-05,,,200.0,200.0,50.0,,
Martjushev ADWIN J,without_noise,log_81_1687182043,0.4,300.0,400.0,20.0,[],"[751, 1119]",,,00:00:02,2.439789921976626,0.0013274156267555092,,,,,,,
Zheng DBSCAN,without_noise,log_75_1687182036,,,,,"[1098.5, 1366.0, 1442.0]","[1099, 1445]",0.8,1.75,00:00:01,1.3085522772744298,0.0005628181837739483,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_75_1687182036,,,,,"[1098.5, 1404.0]","[1099, 1445]",1.0,20.75,00:00:01,1.3085522772744298,0.0005628181837739483,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_75_1687182036,,,,,"[1098.5, 1404.0]","[1099, 1445]",1.0,20.75,00:00:01,1.3085522772744298,0.0005628181837739483,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_75_1687182036,,,,,"[1098.5, 1404.0]","[1099, 1445]",1.0,20.75,00:00:01,1.3085522772744298,0.0005628181837739483,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_75_1687182036,,,,,"[1098.5, 1404.0]","[1099, 1445]",1.0,20.75,00:00:01,1.3085522772744298,0.0005628181837739483,,,,,,500.0,250.0
Process Graph Metrics,without_noise,log_61_1687182016,0.0001,200.0,500.0,,[1496],"[1128, 1415]",0.6666666666666666,81.0,00:00:01,1.211538029834628,0.0004714155758111393,,,,,,,
Maaradji Runs,without_noise,log_35_1687181968,,,,,"[2424, 3820]","[842, 1057, 2418, 2651, 3788, 4180]",0.5,19.0,00:00:02,2.4336860086768866,0.0004334258252318587,200.0,2.0,,,,,
Maaradji Runs,without_noise,log_65_1687182020,,,,,"[906, 1480, 2212]","[909, 1496, 2099, 2410]",0.8571428571428571,44.0,00:00:30,30.87572843581438,0.010093405830602935,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_29_1687181956,0.05,400.0,500.0,,[767],"[516, 766]",0.6666666666666666,1.0,00:00:02,2.425706191919744,0.0016043030369839576,,,,,,,
Bose J,without_noise,log_98_1687182076,,,,,[1074],"[896, 1153]",0.6666666666666666,79.0,00:00:56,56.697216460481286,0.03215951018745394,300.0,2.0,,,,,
Bose WC,without_noise,log_98_1687182076,,,,,[],"[896, 1153]",,,00:01:05,65.45459845475852,0.03712682839180858,300.0,2.0,,,,,
LCDD,without_noise,log_58_1687182010,,,,,[566],[566],1.0,0.0,00:00:00,0.023196641355752945,1.4007633668932938e-05,,,300.0,300.0,50.0,,
Process Graph Metrics,without_noise,log_6_1687181923,0.05,400.0,400.0,,"[2630, 3210]","[923, 1989, 3141]",0.4,69.0,00:00:08,8.92116778716445,0.0020270774340296407,,,,,,,
Martjushev ADWIN J,without_noise,log_19_1687181938,0.4,100.0,400.0,50.0,[],[771],,,00:00:15,15.988535020500422,0.010730560416443236,,,,,,,
Maaradji Runs,without_noise,log_37_1687181973,,,,,[1414],[1428],1.0,14.0,00:01:24,84.19234915450215,0.040711967676258294,300.0,2.0,,,,,
Martjushev J,without_noise,log_80_1687182042,0.55,,,,[],[981],,,00:03:31,211.39780466910452,0.0997630036192093,100.0,,,,,,
LCDD,without_noise,log_78_1687182040,,,,,[],[743],,,00:00:00,0.056893196888267994,2.5444184654860463e-05,,,100.0,100.0,5.0,,
Process Graph Metrics,without_noise,log_38_1687181974,0.05,100.0,400.0,,[1098],"[1060, 1266]",0.6666666666666666,38.0,00:00:40,40.595408542081714,0.017252617314951854,,,,,,,
LCDD,without_noise,log_58_1687182010,,,,,[566],[566],1.0,0.0,00:00:00,0.011974741704761982,7.2311242178514385e-06,,,300.0,300.0,100.0,,
Process Graph Metrics,without_noise,log_61_1687182016,0.005,100.0,500.0,,[1462],"[1128, 1415]",0.6666666666666666,47.0,00:00:01,1.304361124522984,0.0005075335114875424,,,,,,,
Martjushev ADWIN J,without_noise,log_23_1687181942,0.4,400.0,400.0,50.0,"[799, 2600, 4201]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,88.33333333333333,00:01:40,100.70966646261513,0.018162248234917067,,,,,,,
Process Graph Metrics,without_noise,log_38_1687181974,0.05,100.0,500.0,,[1143],"[1060, 1266]",0.6666666666666666,83.0,00:00:20,20.51013429183513,0.008716589159300948,,,,,,,
Martjushev ADWIN J,without_noise,log_30_1687181956,0.4,100.0,400.0,10.0,[],"[949, 1861, 2912]",,,00:00:33,33.52929977700114,0.008336474335405556,,,,,,,
Process Graph Metrics,without_noise,log_75_1687182036,0.1,200.0,400.0,,[1281],"[1099, 1445]",0.6666666666666666,164.0,00:00:03,3.003335748799145,0.0012917573113114603,,,,,,,
Maaradji Runs,without_noise,log_45_1687181991,,,,,[466],[546],1.0,80.0,00:00:00,0.43359863199293613,0.00031557396797156925,250.0,2.0,,,,,
Process Graph Metrics,without_noise,log_72_1687182033,0.05,400.0,400.0,,"[712, 1024]","[661, 974]",1.0,50.5,00:00:01,1.8971235156059265,0.0012530538412192382,,,,,,,
LCDD,without_noise,log_63_1687182017,,,,,"[803, 1862, 2023, 2683]","[727, 968, 1760, 2588, 2871]",0.6666666666666665,91.0,00:00:00,0.1074996804818511,2.531190969669204e-05,,,100.0,100.0,150.0,,
Martjushev ADWIN J,without_noise,log_75_1687182036,0.4,100.0,400.0,10.0,[],"[1099, 1445]",,,00:00:35,35.06810317747295,0.015083055130095892,,,,,,,
Martjushev ADWIN J,without_noise,log_46_1687181991,0.4,100.0,400.0,50.0,[],"[808, 1008, 2422, 3892]",,,00:00:42,42.101867287419736,0.009097205550436418,,,,,,,
LCDD,without_noise,log_64_1687182018,,,,,[1360],[1359],1.0,1.0,00:00:00,0.13628558907657862,6.904031868114418e-05,,,200.0,200.0,50.0,,
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,100.0,500.0,10.0,[],[1012],,,00:00:03,3.7969538643956184,0.002240090775454642,,,,,,,
Process Graph Metrics,without_noise,log_74_1687182036,0.1,400.0,500.0,,[905],[839],1.0,66.0,00:00:12,12.445991101674736,0.008870984391785271,,,,,,,
Martjushev J,without_noise,log_74_1687182036,0.55,,,,[],[839],,,00:01:17,77.5028751976788,0.05524082337682024,200.0,,,,,,
Martjushev ADWIN J,without_noise,log_23_1687181942,0.4,200.0,400.0,10.0,"[789, 2613, 4171]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,85.33333333333333,00:02:04,124.89297869149595,0.022523530873128216,,,,,,,
Martjushev ADWIN J,without_noise,log_35_1687181968,0.4,200.0,500.0,20.0,[],"[842, 1057, 2418, 2651, 3788, 4180]",,,00:00:15,15.030683002434671,0.0026768803210035033,,,,,,,
Martjushev ADWIN J,without_noise,log_31_1687181960,0.4,300.0,500.0,50.0,"[1061, 1925, 3351]","[1043, 1868, 2070, 3338, 3677]",0.7499999999999999,29.333333333333332,00:01:21,81.88834901992232,0.01901285094495526,,,,,,,
LCDD,without_noise,log_47_1687181994,,,,,"[108, 251, 418, 535, 635, 836, 1035, 1155, 1257, 1443, 1717, 2016, 2144, 2249, 2354]","[1076, 1388]",0.23529411764705882,48.0,00:00:00,0.1919965846464038,7.658419810387068e-05,,,100.0,100.0,50.0,,
Martjushev J,without_noise,log_89_1687182057,0.55,,,,"[568, 1149, 1936, 2484, 2893]","[1144, 1943, 2486]",0.7499999999999999,4.666666666666667,00:00:52,52.854833889752626,0.01638401546489542,300.0,,,,,,
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,400.0,500.0,10.0,"[699, 1406, 2888, 3202]","[627, 835, 1407, 2856, 3239]",0.888888888888889,35.5,00:00:05,5.945922004058957,0.0013391716225358012,,,,,,,
Process Graph Metrics,without_noise,log_67_1687182023,0.005,400.0,400.0,,"[1175, 2360]","[933, 1145, 2289, 3129]",0.6666666666666666,50.5,00:00:09,9.062808711081743,0.002038877100355848,,,,,,,
Process Graph Metrics,without_noise,log_36_1687181970,0.005,100.0,400.0,,"[874, 1701, 2764]","[754, 1601, 2593]",1.0,130.33333333333334,00:00:59,59.448737028986216,0.016141389364373124,,,,,,,
