Category,Parameter,F1,Precision,Recall
LCDD,"(600.0, 600.0, 100.0)",0.4986702127659574,0.4396248534583822,0.576036866359447
LCDD,"(600.0, 600.0, 150.0)",0.4691358024691358,0.40653153153153154,0.554531490015361
LCDD,"(600.0, 600.0, 200.0)",0.4873096446700507,0.4151351351351351,0.5898617511520737
LCDD,"(800.0, 800.0, 5.0)",0.4677296886864085,0.4624624624624625,0.4731182795698925
LCDD,"(800.0, 800.0, 10.0)",0.4304733727810651,0.41512125534950073,0.4470046082949309
LCDD,"(800.0, 800.0, 20.0)",0.43522561863173215,0.4135546334716459,0.4592933947772657
LCDD,"(800.0, 800.0, 50.0)",0.42635085122131755,0.4114285714285714,0.4423963133640553
LCDD,"(800.0, 800.0, 100.0)",0.45587106676899464,0.455521472392638,0.45622119815668205
LCDD,"(800.0, 800.0, 150.0)",0.40498899486427,0.38764044943820225,0.423963133640553
LCDD,"(800.0, 800.0, 200.0)",0.4314606741573034,0.42105263157894735,0.4423963133640553
LCDD,"(1200.0, 1200.0, 5.0)",0.4222222222222222,0.5314685314685315,0.35023041474654376
LCDD,"(1200.0, 1200.0, 10.0)",0.4361904761904762,0.5739348370927319,0.35176651305683565
LCDD,"(1200.0, 1200.0, 20.0)",0.39740018570102137,0.5023474178403756,0.32872503840245776
LCDD,"(1200.0, 1200.0, 50.0)",0.4209558823529412,0.5240274599542334,0.35176651305683565
LCDD,"(1200.0, 1200.0, 100.0)",0.41502347417840374,0.533816425120773,0.33947772657450076
LCDD,"(1200.0, 1200.0, 150.0)",0.4161849710982659,0.5581395348837209,0.3317972350230415
LCDD,"(1200.0, 1200.0, 200.0)",0.4159544159544159,0.5447761194029851,0.33640552995391704
Maaradji Runs,"(50.0, 2.0)",0.15642458100558662,0.8615384615384616,0.08602150537634409
Maaradji Runs,"(100.0, 2.0)",0.27019867549668874,0.9807692307692307,0.15668202764976957
Maaradji Runs,"(150.0, 2.0)",0.3082901554404145,0.9834710743801653,0.1827956989247312
Maaradji Runs,"(200.0, 2.0)",0.34869240348692404,0.9210526315789473,0.21505376344086022
Maaradji Runs,"(250.0, 2.0)",0.35572139303482586,0.934640522875817,0.2196620583717358
Maaradji Runs,"(300.0, 2.0)",0.3248730964467005,0.9343065693430657,0.1966205837173579
Maaradji Runs,"(350.0, 2.0)",0.3388116308470291,0.9571428571428572,0.20583717357910905
Maaradji Runs,"(400.0, 2.0)",0.39272727272727276,0.9310344827586207,0.2488479262672811
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 10.0)",0.40979955456570155,0.5786163522012578,0.31724137931034485
