Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
Bose J,with_noise_10,log_15_1687181933,200.0,2.0,[1136],"[957, 1345]",0.6666666666666666,179.0,00:00:24,24.03469172678888,0.0091421421554921,,,,,,,,,
Bose WC,with_noise_10,log_15_1687181933,200.0,2.0,[1344],"[957, 1345]",0.6666666666666666,1.0,00:00:28,28.283259838819504,0.0107581817568731,,,,,,,,,
Bose J,with_noise_20,log_15_1687181933,500.0,2.0,[1192],"[957, 1345]",0.6666666666666666,153.0,00:00:22,22.258719568140805,0.0084666107143936,,,,,,,,,
Bose WC,with_noise_20,log_15_1687181933,500.0,2.0,[1190],"[957, 1345]",0.6666666666666666,155.0,00:00:24,24.821483125910163,0.009441416175698,,,,,,,,,
Bose J,with_noise_20,log_15_1687181933,600.0,2.0,[],"[957, 1345]",,,00:00:22,22.69624030776322,0.0086330316880042,,,,,,,,,
Bose WC,with_noise_20,log_15_1687181933,600.0,2.0,[1190],"[957, 1345]",0.6666666666666666,155.0,00:00:27,27.32152719702572,0.0103923648524251,,,,,,,,,
Bose J,without_noise,log_16_1687181934,100.0,2.0,[],"[1218, 1793, 2771]",,,00:03:05,185.5824309382588,0.0459817717884684,,,,,,,,,
Bose WC,without_noise,log_16_1687181934,100.0,2.0,[],"[1218, 1793, 2771]",,,00:02:37,157.61589799635112,0.0390525019812564,,,,,,,,,
Bose J,without_noise,log_16_1687181934,200.0,2.0,[],"[1218, 1793, 2771]",,,00:03:02,182.24145166855303,0.0451539771230309,,,,,,,,,
Bose WC,without_noise,log_16_1687181934,200.0,2.0,[],"[1218, 1793, 2771]",,,00:02:36,156.03306413348764,0.0386603231252447,,,,,,,,,
Bose J,with_noise_10,log_16_1687181934,300.0,2.0,"[1212, 2748]","[1218, 1793, 2771]",0.8,14.5,00:06:19,379.7503917748109,0.0940907809154635,,,,,,,,,
Bose WC,with_noise_10,log_16_1687181934,300.0,2.0,[],"[1218, 1793, 2771]",,,00:06:53,413.5612390339375,0.1024680968865058,,,,,,,,,
Bose J,with_noise_10,log_16_1687181934,400.0,2.0,"[1212, 2746]","[1218, 1793, 2771]",0.8,15.5,00:07:08,428.7936921762303,0.1062422428583325,,,,,,,,,
Bose WC,with_noise_10,log_16_1687181934,400.0,2.0,[],"[1218, 1793, 2771]",,,00:07:09,429.9688533162698,0.1065334126155277,,,,,,,,,
Bose J,with_noise_10,log_16_1687181934,500.0,2.0,"[1210, 1876, 2746]","[1218, 1793, 2771]",1.0,38.66666666666666,00:06:31,391.3077330747619,0.0969543441711501,,,,,,,,,
Bose WC,with_noise_10,log_16_1687181934,500.0,2.0,[],"[1218, 1793, 2771]",,,00:06:57,417.8393326299265,0.1035280804335794,,,,,,,,,
Bose J,with_noise_10,log_16_1687181934,600.0,2.0,"[1208, 1794, 2796]","[1218, 1793, 2771]",1.0,12.0,00:07:41,461.151315796189,0.1142594935074799,,,,,,,,,
Bose WC,with_noise_10,log_16_1687181934,600.0,2.0,[],"[1218, 1793, 2771]",,,00:08:25,505.0113285500556,0.125126691910321,,,,,,,,,
Bose J,without_noise,log_17_1687181934,100.0,2.0,"[2652, 3868]","[975, 1309, 2437, 2652, 3899]",0.5714285714285715,15.5,00:03:17,197.04121338948607,0.0404768310167391,,,,,,,,,
Bose WC,without_noise,log_17_1687181934,100.0,2.0,[3852],"[975, 1309, 2437, 2652, 3899]",0.3333333333333333,47.0,00:02:58,178.88797337003052,0.0367477348746981,,,,,,,,,
Bose J,with_noise_20,log_17_1687181934,200.0,2.0,"[536, 1092, 2652, 3868]","[975, 1309, 2437, 2652, 3899]",0.6666666666666665,49.333333333333336,00:03:58,238.36050236225128,0.0489647704113088,,,,,,,,,
Bose WC,with_noise_20,log_17_1687181934,200.0,2.0,"[2652, 3852]","[975, 1309, 2437, 2652, 3899]",0.5714285714285715,23.5,00:03:51,231.77196711488068,0.0476113326037141,,,,,,,,,
Bose J,with_noise_20,log_17_1687181934,400.0,2.0,"[1144, 2604, 3888]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,74.66666666666667,00:04:51,291.266618154943,0.0598329125215577,,,,,,,,,
Bose WC,with_noise_20,log_17_1687181934,400.0,2.0,"[918, 2604, 3878]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,42.0,00:05:39,339.1655053365976,0.0696724538489313,,,,,,,,,
Bose J,without_noise,log_17_1687181934,500.0,2.0,"[1152, 2490, 3900]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,70.33333333333333,00:04:53,293.6741019412875,0.0603274654768462,,,,,,,,,
Bose WC,without_noise,log_17_1687181934,500.0,2.0,"[918, 2652, 3832]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,41.333333333333336,00:04:56,296.6456549912691,0.0609378913293486,,,,,,,,,
Bose J,with_noise_20,log_17_1687181934,600.0,2.0,"[1076, 2548, 3872]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,77.33333333333333,00:05:23,323.9091869844124,0.0665384525440452,,,,,,,,,
Bose WC,with_noise_20,log_17_1687181934,600.0,2.0,"[1466, 2606]","[975, 1309, 2437, 2652, 3899]",0.5714285714285715,101.5,00:07:13,433.8283583736047,0.0891183973651612,,,,,,,,,
Bose J,with_noise_20,log_18_1687181937,100.0,2.0,[],"[1013, 1325]",,,00:02:58,178.4419847233221,0.0845696610063137,,,,,,,,,
Bose WC,with_noise_20,log_18_1687181937,100.0,2.0,[],"[1013, 1325]",,,00:02:36,156.87617477588356,0.074348897998049,,,,,,,,,
Bose J,with_noise_20,log_18_1687181937,300.0,2.0,[1144],"[1013, 1325]",0.6666666666666666,131.0,00:03:00,180.743076113984,0.0856602256464379,,,,,,,,,
Bose WC,with_noise_20,log_18_1687181937,300.0,2.0,[1246],"[1013, 1325]",0.6666666666666666,79.0,00:03:39,219.8279683450237,0.1041838712535657,,,,,,,,,
Bose J,with_noise_20,log_18_1687181937,400.0,2.0,[1256],"[1013, 1325]",0.6666666666666666,69.0,00:03:26,206.23477486055344,0.0977415994599779,,,,,,,,,
Bose WC,with_noise_20,log_18_1687181937,400.0,2.0,[1256],"[1013, 1325]",0.6666666666666666,69.0,00:04:14,254.22045855876055,0.1204836296487017,,,,,,,,,
Bose J,with_noise_10,log_18_1687181937,600.0,2.0,[1258],"[1013, 1325]",0.6666666666666666,67.0,00:03:14,194.59020173270252,0.0922228444230817,,,,,,,,,
Bose WC,with_noise_10,log_18_1687181937,600.0,2.0,[],"[1013, 1325]",,,00:03:49,229.2359401676804,0.1086426256718864,,,,,,,,,
Bose J,without_noise,log_19_1687181938,100.0,2.0,[],[771],,,00:01:26,86.47080707643181,0.0580340987090146,,,,,,,,,
Bose WC,without_noise,log_19_1687181938,100.0,2.0,[],[771],,,00:01:22,82.79368649423122,0.0555662325464639,,,,,,,,,
Bose J,with_noise_20,log_19_1687181938,200.0,2.0,[724],[771],1.0,47.0,00:01:43,103.55466063972564,0.0694997722414265,,,,,,,,,
Bose WC,with_noise_20,log_19_1687181938,200.0,2.0,[],[771],,,00:01:58,118.36694398149848,0.0794409020010056,,,,,,,,,
