Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,with_noise_10,log_12_1687181931,200,2,"[708, 1186]","[969, 1263]",0.5,77.0,00:00:01,1.1251569874584675,0.0006338912605399817
Earth Mover's Distance,without_noise,log_37_1687181973,300,2,[1428],[1428],1.0,0.0,00:01:16,76.27875891514122,0.036885279939623414
Earth Mover's Distance,with_noise_10,log_3_1687181920,300,2,"[1338, 1682]","[1041, 1298]",0.5,40.0,00:01:26,86.09603879600763,0.0379612164003561
Earth Mover's Distance,with_noise_15,log_67_1687182023,300,2,"[1028, 2288, 2734, 3128]","[933, 1145, 2289, 3129]",0.75,32.333333333333336,00:00:08,8.226707195863128,0.0018507777718477227
Earth Mover's Distance,with_noise_15,log_71_1687182031,300,2,"[1048, 2054, 2810, 3494]","[940, 1158, 1961, 2167, 3303, 3626]",0.6,111.0,00:02:58,178.05327191576362,0.03947090931406864
Earth Mover's Distance,with_noise_15,log_24_1687181949,100,2,"[410, 1130]","[994, 1238]",0.5,108.0,00:00:03,3.034932503476739,0.0012614017055181791
Earth Mover's Distance,with_noise_5,log_58_1687182010,300,2,"[566, 1034]",[566],0.6666666666666666,0.0,00:00:01,1.6015243344008923,0.0009671040666672055
Earth Mover's Distance,with_noise_10,log_73_1687182035,200,2,"[752, 1472, 2416, 3888]","[1478, 2417, 2951, 3283]",0.5,3.5,00:00:18,18.612323069944978,0.004180665559286832
Earth Mover's Distance,with_noise_15,log_34_1687181968,300,2,"[1166, 1850]","[1087, 1302]",0.5,79.0,00:01:20,80.08896608836949,0.030108633867808078
Earth Mover's Distance,with_noise_15,log_55_1687182006,200,2,"[1300, 1732]","[1185, 1392]",0.5,92.0,00:00:07,7.201298087835312,0.0026167507586610872
Earth Mover's Distance,without_noise,log_59_1687182010,300,2,"[898, 1586, 2050, 3128]","[788, 1187, 2051, 3036, 3241]",0.6666666666666665,67.66666666666667,00:18:08,1088.848554423079,0.28179310414675957
Earth Mover's Distance,without_noise,log_38_1687181974,200,2,"[1150, 1842]","[1060, 1266]",0.5,90.0,00:03:52,232.4465711619705,0.09878732306076095
Earth Mover's Distance,with_noise_15,log_51_1687182003,100,2,[880],[882],1.0,2.0,00:00:22,22.89868003875017,0.009657815284162872
Earth Mover's Distance,with_noise_5,log_16_1687181934,100,2,"[1758, 2212, 3196]","[1218, 1793, 2771]",0.3333333333333333,35.0,00:00:03,3.392733311280608,0.0008406177679089713
Earth Mover's Distance,with_noise_5,log_78_1687182040,100,2,[742],[743],1.0,1.0,00:00:00,0.6848113313317299,0.00030626624835944984
Earth Mover's Distance,with_noise_15,log_45_1687181991,200,2,[544],[546],1.0,2.0,00:00:04,4.710471965372562,0.0034282910956132187
Earth Mover's Distance,with_noise_5,log_15_1687181933,300,2,[1164],"[957, 1345]",0.6666666666666666,181.0,00:00:02,2.3232777900993824,0.0008837115976034166
Earth Mover's Distance,without_noise,log_15_1687181933,300,2,"[1136, 1164]","[957, 1345]",1.0,180.0,00:00:00,0.18958296440541744,7.211219642655665e-05
Earth Mover's Distance,with_noise_5,log_31_1687181960,300,2,"[1042, 1936, 3512]","[1043, 1868, 2070, 3338, 3677]",0.7499999999999999,78.0,00:21:23,1283.851126762107,0.29808477519435966
Earth Mover's Distance,with_noise_5,log_37_1687181973,200,2,[1426],[1428],1.0,2.0,00:01:03,63.783038936555386,0.03084286215500744
Earth Mover's Distance,with_noise_5,log_65_1687182020,300,2,"[910, 1502, 2202]","[909, 1496, 2099, 2410]",0.8571428571428571,36.666666666666664,00:02:06,126.69609384052455,0.041417487362054445
Earth Mover's Distance,with_noise_15,log_10_1687181929,300,2,[1762],"[1446, 1821]",0.6666666666666666,59.0,00:08:52,532.6733864694834,0.20670290511039324
Earth Mover's Distance,without_noise,log_41_1687181983,300,2,"[782, 2588, 3440]","[601, 890, 2386, 2718, 3227, 3580]",0.6666666666666666,126.0,00:00:02,2.2270662635564804,0.00046513497568013377
Earth Mover's Distance,with_noise_10,log_89_1687182057,100,2,"[1144, 1966, 2486]","[1144, 1943, 2486]",1.0,7.666666666666667,00:00:15,15.989811720326543,0.004956544240646789
Earth Mover's Distance,with_noise_10,log_16_1687181934,200,2,"[416, 1230, 1754, 2188, 2750, 3686]","[1218, 1793, 2771]",0.6666666666666666,24.0,00:00:12,12.881927790120244,0.0031917561422498126
Earth Mover's Distance,with_noise_10,log_99_1687182077,300,2,"[680, 1476, 2006, 2714]","[555, 837, 2088, 2767]",0.75,86.66666666666667,00:00:54,54.925334461033344,0.01613552716246573
Earth Mover's Distance,with_noise_10,log_82_1687182044,300,2,[],[642],,,00:02:29,149.08846221864223,0.07286826110393071
Earth Mover's Distance,without_noise,log_12_1687181931,200,2,"[708, 1192]","[969, 1263]",0.5,71.0,00:00:00,0.09730487875640392,5.481965000360784e-05
