Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,with_noise_10,log_59_1687182010,250,2,[],"[788, 1187, 2051, 3036, 3241]",,,00:01:00,60.96043090522289,0.0157765090334427
Maaradji Runs,with_noise_20,log_59_1687182010,50,2,[],"[788, 1187, 2051, 3036, 3241]",,,00:01:03,63.11221812944859,0.0163333897850539
Maaradji Runs,without_noise,log_5_1687181922,150,2,[],"[689, 980]",,,00:00:37,37.35110028181225,0.0220100767718398
Maaradji Runs,with_noise_10,log_5_1687181922,200,2,[],"[689, 980]",,,00:00:05,5.649698403663933,0.0033292271088178
Maaradji Runs,without_noise,log_5_1687181922,250,2,[796],"[689, 980]",0.6666666666666666,107.0,00:00:41,41.57675791997463,0.0245001519858424
Maaradji Runs,with_noise_10,log_5_1687181922,300,2,[],"[689, 980]",,,00:00:05,5.566984608769417,0.0032804859214905
Maaradji Runs,with_noise_10,log_60_1687182015,100,2,[],[694],,,00:00:05,5.588570238091052,0.0026299154061604
Maaradji Runs,with_noise_10,log_60_1687182015,200,2,[],[694],,,00:00:05,5.743442961014807,0.0027027966875363
Maaradji Runs,with_noise_10,log_60_1687182015,250,2,[],[694],,,00:00:05,5.664260637015104,0.0026655344174188
Maaradji Runs,with_noise_10,log_60_1687182015,300,2,[],[694],,,00:00:05,5.411200979724526,0.0025464475198703
Maaradji Runs,without_noise,log_60_1687182015,50,2,[702],[694],1.0,8.0,00:00:28,28.843759985640645,0.0135735341108897
Maaradji Runs,without_noise,log_61_1687182016,100,2,"[1130, 1366]","[1128, 1415]",1.0,25.5,00:00:01,1.156017728149891,0.0004498123455836
Maaradji Runs,without_noise,log_61_1687182016,150,2,[1114],"[1128, 1415]",0.6666666666666666,14.0,00:00:01,1.2130340887233615,0.0004719976998923
Maaradji Runs,with_noise_20,log_61_1687182016,300,2,[],"[1128, 1415]",,,00:00:01,1.0542939770966768,0.0004102311194928
Maaradji Runs,with_noise_10,log_62_1687182017,100,2,[],[540],,,00:00:03,3.6769624454900622,0.0022923706019264
Maaradji Runs,with_noise_20,log_62_1687182017,250,2,[],[540],,,00:00:04,4.185910384170711,0.0026096698155677
Maaradji Runs,with_noise_10,log_62_1687182017,50,2,[],[540],,,00:00:03,3.606864335015416,0.0022486685380395
Maaradji Runs,with_noise_10,log_63_1687182017,100,2,[],"[727, 968, 1760, 2588, 2871]",,,00:00:04,4.910603602416813,0.0011562523198532
Maaradji Runs,with_noise_20,log_63_1687182017,150,2,[],"[727, 968, 1760, 2588, 2871]",,,00:00:05,5.478019903413951,0.0012898563464596
Maaradji Runs,with_noise_20,log_63_1687182017,250,2,[],"[727, 968, 1760, 2588, 2871]",,,00:00:06,6.047978796996176,0.0014240590527422
Maaradji Runs,with_noise_20,log_63_1687182017,300,2,[],"[727, 968, 1760, 2588, 2871]",,,00:00:06,6.019880290143192,0.0014174429691884
Maaradji Runs,with_noise_10,log_63_1687182017,50,2,[],"[727, 968, 1760, 2588, 2871]",,,00:00:05,5.14553081523627,0.0012115683577198
Maaradji Runs,with_noise_20,log_64_1687182018,100,2,[],[1359],,,00:01:15,75.40987661946565,0.0382015585711578
Maaradji Runs,with_noise_10,log_64_1687182018,150,2,[],[1359],,,00:01:11,71.04298624582589,0.0359893547344609
Maaradji Runs,with_noise_10,log_65_1687182020,100,2,[],"[909, 1496, 2099, 2410]",,,00:00:04,4.886358740739524,0.0015973712784372
Maaradji Runs,without_noise,log_65_1687182020,150,2,"[914, 1488]","[909, 1496, 2099, 2410]",0.6666666666666666,6.5,00:00:33,33.30655089393258,0.0108880519430966
