Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,with_noise_10,log_12_1687181931,300,30.0,[],"[969, 1263]",,,00:00:00,0.0940700247883796,5.299719706387587e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,300,60.0,[],"[969, 1263]",,,00:00:00,0.0940700247883796,5.299719706387587e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,300,90.0,[],"[969, 1263]",,,00:00:00,0.0940700247883796,5.299719706387587e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,500,100.0,[],"[969, 1263]",,,00:00:00,0.0461005475372076,2.597213945758175e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,500,150.0,[],"[969, 1263]",,,00:00:00,0.0461005475372076,2.597213945758175e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,500,200.0,[],"[969, 1263]",,,00:00:00,0.0461005475372076,2.597213945758175e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,500,250.0,[],"[969, 1263]",,,00:00:00,0.0461005475372076,2.597213945758175e-05
Zheng DBSCAN,with_noise_10,log_12_1687181931,500,50.0,[],"[969, 1263]",,,00:00:00,0.0461005475372076,2.597213945758175e-05
Zheng DBSCAN,with_noise_20,log_12_1687181931,700,140.0,[],"[969, 1263]",,,00:00:00,0.0984327029436826,5.54550439119339e-05
Zheng DBSCAN,with_noise_20,log_12_1687181931,700,210.0,[],"[969, 1263]",,,00:00:00,0.0984327029436826,5.54550439119339e-05
Zheng DBSCAN,with_noise_20,log_12_1687181931,700,280.0,[],"[969, 1263]",,,00:00:00,0.0984327029436826,5.54550439119339e-05
Zheng DBSCAN,with_noise_20,log_12_1687181931,700,350.0,[],"[969, 1263]",,,00:00:00,0.0984327029436826,5.54550439119339e-05
Zheng DBSCAN,with_noise_20,log_12_1687181931,700,70.0,[],"[969, 1263]",,,00:00:00,0.0984327029436826,5.54550439119339e-05
Zheng DBSCAN,without_noise,log_12_1687181931,800,160.0,[],"[969, 1263]",,,00:00:00,0.0434530358761549,2.4480583592199945e-05
Zheng DBSCAN,without_noise,log_12_1687181931,800,240.0,[],"[969, 1263]",,,00:00:00,0.0434530358761549,2.4480583592199945e-05
Zheng DBSCAN,without_noise,log_12_1687181931,800,320.0,[],"[969, 1263]",,,00:00:00,0.0434530358761549,2.4480583592199945e-05
Zheng DBSCAN,without_noise,log_12_1687181931,800,400.0,[],"[969, 1263]",,,00:00:00,0.0434530358761549,2.4480583592199945e-05
Zheng DBSCAN,without_noise,log_12_1687181931,800,80.0,[],"[969, 1263]",,,00:00:00,0.0434530358761549,2.4480583592199945e-05
Zheng DBSCAN,without_noise,log_13_1687181932,300,120.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.3842066917568445,8.653303868397399e-05
Zheng DBSCAN,without_noise,log_13_1687181932,300,150.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.3842066917568445,8.653303868397399e-05
Zheng DBSCAN,without_noise,log_13_1687181932,300,30.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.3842066917568445,8.653303868397399e-05
Zheng DBSCAN,without_noise,log_13_1687181932,300,60.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.3842066917568445,8.653303868397399e-05
Zheng DBSCAN,without_noise,log_13_1687181932,300,90.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.3842066917568445,8.653303868397399e-05
Zheng DBSCAN,with_noise_10,log_13_1687181932,400,120.0,"[667.0, 1806.0, 2283.5, 2713.0]","[627, 835, 1407, 2856, 3239]",0.4444444444444445,91.5,00:00:00,0.4149139244109392,9.344908207453584e-05
Zheng DBSCAN,with_noise_10,log_13_1687181932,400,160.0,"[667.0, 1806.0, 2283.5, 2713.0]","[627, 835, 1407, 2856, 3239]",0.4444444444444445,91.5,00:00:00,0.4149139244109392,9.344908207453584e-05
Zheng DBSCAN,with_noise_10,log_13_1687181932,400,200.0,"[667.0, 1806.0, 2283.5, 2713.0]","[627, 835, 1407, 2856, 3239]",0.4444444444444445,91.5,00:00:00,0.4149139244109392,9.344908207453584e-05
Zheng DBSCAN,with_noise_10,log_13_1687181932,400,40.0,"[667.0, 1806.0, 2283.5, 2713.0]","[627, 835, 1407, 2856, 3239]",0.4444444444444445,91.5,00:00:00,0.4149139244109392,9.344908207453584e-05
Zheng DBSCAN,with_noise_10,log_13_1687181932,400,80.0,"[667.0, 1806.0, 2283.5, 2713.0]","[627, 835, 1407, 2856, 3239]",0.4444444444444445,91.5,00:00:00,0.4149139244109392,9.344908207453584e-05
Zheng DBSCAN,without_noise,log_13_1687181932,500,100.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.394342353567481,8.881584539808132e-05
Zheng DBSCAN,without_noise,log_13_1687181932,500,150.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.394342353567481,8.881584539808132e-05
Zheng DBSCAN,without_noise,log_13_1687181932,500,200.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.394342353567481,8.881584539808132e-05
Zheng DBSCAN,without_noise,log_13_1687181932,500,250.0,"[730.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",0.888888888888889,26.5,00:00:00,0.394342353567481,8.881584539808132e-05
Zheng DBSCAN,without_noise,log_13_1687181932,500,50.0,"[626.0, 834.0, 1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",1.0,1.0,00:00:00,0.394342353567481,8.881584539808132e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,600,120.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.4182507572695613,9.420062100665796e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,600,180.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.4182507572695613,9.420062100665796e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,600,240.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.4182507572695613,9.420062100665796e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,600,300.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.4182507572695613,9.420062100665796e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,600,60.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.4182507572695613,9.420062100665796e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,700,140.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.412195585668087,9.283684361893852e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,700,210.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.412195585668087,9.283684361893852e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,700,280.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.412195585668087,9.283684361893852e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,700,350.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.412195585668087,9.283684361893852e-05
Zheng DBSCAN,with_noise_20,log_13_1687181932,700,70.0,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.412195585668087,9.283684361893852e-05
Zheng DBSCAN,without_noise,log_13_1687181932,800,160.0,"[1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,1.0,00:00:00,0.3749318588525057,8.444411235416794e-05
Zheng DBSCAN,without_noise,log_13_1687181932,800,240.0,"[1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,1.0,00:00:00,0.3749318588525057,8.444411235416794e-05
Zheng DBSCAN,without_noise,log_13_1687181932,800,320.0,"[1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,1.0,00:00:00,0.3749318588525057,8.444411235416794e-05
Zheng DBSCAN,without_noise,log_13_1687181932,800,400.0,"[1406.0, 3046.5]","[627, 835, 1407, 2856, 3239]",0.5714285714285715,95.75,00:00:00,0.3749318588525057,8.444411235416794e-05
Zheng DBSCAN,without_noise,log_13_1687181932,800,80.0,"[1406.0, 2855.0, 3238.0]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,1.0,00:00:00,0.3749318588525057,8.444411235416794e-05
Zheng DBSCAN,without_noise,log_14_1687181933,300,120.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1328418618068099,7.103842877369513e-05
Zheng DBSCAN,without_noise,log_14_1687181933,300,150.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1328418618068099,7.103842877369513e-05
Zheng DBSCAN,without_noise,log_14_1687181933,300,30.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1328418618068099,7.103842877369513e-05
Zheng DBSCAN,without_noise,log_14_1687181933,300,60.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1328418618068099,7.103842877369513e-05
Zheng DBSCAN,without_noise,log_14_1687181933,300,90.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1328418618068099,7.103842877369513e-05
Zheng DBSCAN,without_noise,log_14_1687181933,400,120.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1241830326616764,6.640803885651145e-05
Zheng DBSCAN,without_noise,log_14_1687181933,400,160.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1241830326616764,6.640803885651145e-05
