Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
LCDD,without_noise,log_10_1687181929,600,600,150,"[801, 1445, 2109]","[1446, 1821]",0.4,1.0,00:00:00,0.1260126130655408,4.889895734014e-05
LCDD,with_noise_10,log_10_1687181929,600,600,20,"[605, 1230, 1875, 2518]","[1446, 1821]",0.3333333333333333,54.0,00:00:00,0.0674657486379146,2.617995678615237e-05
LCDD,with_noise_10,log_10_1687181929,600,600,200,"[605, 1230, 1875, 2518]","[1446, 1821]",0.3333333333333333,54.0,00:00:00,0.1869204239919781,7.253411873961124e-05
LCDD,with_noise_20,log_10_1687181929,600,600,5,[],"[1446, 1821]",,,00:00:00,0.3669341690838337,0.0001423881137306
LCDD,without_noise,log_10_1687181929,600,600,50,"[801, 1445, 2109]","[1446, 1821]",0.4,1.0,00:00:00,0.1201738966628909,4.663325442875084e-05
LCDD,without_noise,log_10_1687181929,800,800,10,"[801, 1629, 2457]","[1446, 1821]",0.4,183.0,00:00:00,0.1293788412585854,5.020521585509719e-05
LCDD,without_noise,log_10_1687181929,800,800,100,"[801, 1629, 2457]","[1446, 1821]",0.4,183.0,00:00:00,0.0654189195483923,2.538568861016387e-05
LCDD,without_noise,log_10_1687181929,800,800,150,"[801, 1629, 2457]","[1446, 1821]",0.4,183.0,00:00:00,0.1251397356390953,4.856023889759228e-05
LCDD,without_noise,log_10_1687181929,800,800,200,"[801, 1629, 2457]","[1446, 1821]",0.4,183.0,00:00:00,0.1290021864697337,5.005905567316016e-05
LCDD,with_noise_10,log_10_1687181929,800,800,5,"[869, 1771]","[1446, 1821]",0.5,50.0,00:00:00,0.1234892979264259,4.791978964936978e-05
LCDD,with_noise_20,log_10_1687181929,800,800,50,[],"[1446, 1821]",,,00:00:00,0.190519112162292,7.39305829112503e-05
LCDD,without_noise,log_11_1687181931,100,100,10,[1011],[1012],1.0,1.0,00:00:00,0.0505369585007429,2.9815314749700832e-05
LCDD,with_noise_20,log_11_1687181931,100,100,100,[],[1012],,,00:00:00,0.0772682363167405,4.558598012787051e-05
LCDD,with_noise_10,log_11_1687181931,100,100,20,"[103, 248, 397, 508, 646, 753, 863, 964, 1069, 1171, 1273, 1386, 1500, 1609]",[1012],0.1333333333333333,48.0,00:00:00,0.0358091434463858,2.112633831645184e-05
LCDD,without_noise,log_11_1687181931,100,100,50,[1011],[1012],1.0,1.0,00:00:00,0.0517870150506496,3.0552811239321326e-05
LCDD,with_noise_20,log_11_1687181931,1200,1200,10,[],[1012],,,00:00:00,0.0380539400503039,2.2450702094574597e-05
LCDD,without_noise,log_11_1687181931,1200,1200,100,[],[1012],,,00:00:00,0.0323966117575764,1.911304528470588e-05
LCDD,with_noise_10,log_11_1687181931,1200,1200,150,[],[1012],,,00:00:00,0.037129889242351,2.190553937601832e-05
LCDD,with_noise_10,log_11_1687181931,1200,1200,20,[],[1012],,,00:00:00,0.0376470061019063,2.2210623068971267e-05
LCDD,with_noise_10,log_11_1687181931,1200,1200,200,[],[1012],,,00:00:00,0.0355863478034734,2.0994895459276383e-05
LCDD,without_noise,log_11_1687181931,1200,1200,50,[],[1012],,,00:00:00,0.031105981208384,1.8351611332379963e-05
LCDD,with_noise_10,log_11_1687181931,200,200,10,"[248, 448, 662, 955, 1174, 1374, 1617]",[1012],0.25,57.0,00:00:00,0.0367819033563137,2.170023796832667e-05
LCDD,with_noise_20,log_11_1687181931,200,200,100,[],[1012],,,00:00:00,0.0634221406653523,3.741719213295124e-05
LCDD,with_noise_10,log_11_1687181931,200,200,20,"[248, 448, 662, 955, 1174, 1374, 1617]",[1012],0.25,57.0,00:00:00,0.1815870106220245,0.000107130979718
LCDD,with_noise_20,log_11_1687181931,200,200,200,[],[1012],,,00:00:00,0.0769843598827719,4.541850140576517e-05
LCDD,with_noise_20,log_11_1687181931,200,200,5,[],[1012],,,00:00:00,0.0684783486649394,4.040020570202915e-05
LCDD,with_noise_20,log_11_1687181931,200,200,50,[],[1012],,,00:00:00,0.0643075061962008,3.793953167917454e-05
LCDD,without_noise,log_11_1687181931,300,300,100,[1011],[1012],1.0,1.0,00:00:00,0.042413055896759,2.502245185649501e-05
LCDD,with_noise_20,log_11_1687181931,300,300,150,[],[1012],,,00:00:00,0.0636680172756314,3.756225208001854e-05
LCDD,with_noise_20,log_11_1687181931,300,300,5,[],[1012],,,00:00:00,0.062342470511794,3.678021859102896e-05
LCDD,with_noise_10,log_11_1687181931,300,300,50,"[327, 964, 1273]",[1012],0.5,48.0,00:00:00,0.0393684264272451,2.3226210281560557e-05
LCDD,with_noise_20,log_11_1687181931,400,400,10,[],[1012],,,00:00:00,0.0589233990758657,3.476306730139572e-05
LCDD,with_noise_20,log_11_1687181931,400,400,100,[],[1012],,,00:00:00,0.0711225308477878,4.196019519043531e-05
LCDD,without_noise,log_11_1687181931,400,400,150,[1011],[1012],1.0,1.0,00:00:00,0.034656785428524,2.0446481078775236e-05
LCDD,without_noise,log_11_1687181931,400,400,200,[1011],[1012],1.0,1.0,00:00:00,0.0339407734572887,2.0024055137043504e-05
LCDD,with_noise_10,log_11_1687181931,400,400,5,[964],[1012],1.0,48.0,00:00:00,0.040032192133367,2.361781246806316e-05
LCDD,with_noise_10,log_11_1687181931,600,600,10,[964],[1012],1.0,48.0,00:00:00,0.0178551925346255,1.0534036893584383e-05
LCDD,with_noise_20,log_11_1687181931,600,600,100,[],[1012],,,00:00:00,0.054506997577846,3.2157520694894425e-05
LCDD,with_noise_10,log_11_1687181931,600,600,150,[964],[1012],1.0,48.0,00:00:00,0.0352221131324768,2.0780007747773927e-05
LCDD,without_noise,log_11_1687181931,600,600,200,[1011],[1012],1.0,1.0,00:00:00,0.0310124913230538,1.829645505784887e-05
LCDD,with_noise_10,log_11_1687181931,800,800,150,[964],[1012],1.0,48.0,00:00:00,0.0349743086844682,2.063381043331461e-05
LCDD,with_noise_10,log_11_1687181931,800,800,5,[964],[1012],1.0,48.0,00:00:00,0.0351846078410744,2.0757880732197325e-05
LCDD,without_noise,log_11_1687181931,800,800,50,[1011],[1012],1.0,1.0,00:00:00,0.0153523460030555,9.057431270239276e-06
LCDD,with_noise_20,log_12_1687181931,100,100,10,[],"[969, 1263]",,,00:00:00,0.041729656048119,2.350966537922201e-05
LCDD,with_noise_10,log_12_1687181931,100,100,100,"[105, 205, 342]","[969, 1263]",,,00:00:00,0.0337291378527879,1.900233118466928e-05
LCDD,with_noise_10,log_12_1687181931,100,100,150,"[105, 205, 342]","[969, 1263]",,,00:00:00,0.0209819534793496,1.1820818861605415e-05
LCDD,without_noise,log_12_1687181931,100,100,5,[],"[969, 1263]",,,00:00:00,0.1182764489203691,6.663461911006713e-05
LCDD,with_noise_10,log_12_1687181931,1200,1200,10,[],"[969, 1263]",,,00:00:00,0.0179058425128459,1.0087798598786476e-05
LCDD,with_noise_20,log_12_1687181931,1200,1200,100,[],"[969, 1263]",,,00:00:00,0.0213151713833212,1.2008547258209175e-05
LCDD,without_noise,log_12_1687181931,1200,1200,150,[],"[969, 1263]",,,00:00:00,0.015820893459022,8.913179413533547e-06
LCDD,with_noise_20,log_12_1687181931,1200,1200,200,[],"[969, 1263]",,,00:00:00,0.0206612739711999,1.1640154349971823e-05
LCDD,with_noise_10,log_12_1687181931,1200,1200,5,[],"[969, 1263]",,,00:00:00,0.0203693779185414,1.1475705869600806e-05
LCDD,without_noise,log_12_1687181931,1200,1200,50,[],"[969, 1263]",,,00:00:00,0.0070619285106658,3.978551273614588e-06
LCDD,with_noise_20,log_12_1687181931,200,200,10,[],"[969, 1263]",,,00:00:00,0.0409180363640189,2.3052414852968403e-05
LCDD,with_noise_10,log_12_1687181931,200,200,150,[],"[969, 1263]",,,00:00:00,0.0398735096678137,2.246394910862748e-05
LCDD,without_noise,log_12_1687181931,200,200,20,[],"[969, 1263]",,,00:00:00,0.0277397464960813,1.562802619497541e-05
LCDD,with_noise_20,log_12_1687181931,200,200,200,[],"[969, 1263]",,,00:00:00,0.0419377638027071,2.362690918462377e-05
LCDD,with_noise_10,log_12_1687181931,200,200,5,[],"[969, 1263]",,,00:00:00,0.035569935105741,2.0039400059572406e-05
LCDD,with_noise_10,log_12_1687181931,200,200,50,[],"[969, 1263]",,,00:00:00,0.0343649154528975,1.9360515748111296e-05
LCDD,with_noise_10,log_12_1687181931,300,300,10,[],"[969, 1263]",,,00:00:00,0.0339639587327837,1.9134624638188054e-05
LCDD,with_noise_10,log_12_1687181931,300,300,100,[],"[969, 1263]",,,00:00:00,0.0418272176757454,2.356462967647633e-05
LCDD,with_noise_10,log_12_1687181931,300,300,150,[],"[969, 1263]",,,00:00:00,0.0333646507933735,1.879698636246399e-05
LCDD,without_noise,log_12_1687181931,300,300,20,[],"[969, 1263]",,,00:00:00,0.0234065195545554,1.318677158003122e-05
LCDD,with_noise_10,log_12_1687181931,300,300,200,[],"[969, 1263]",,,00:00:00,0.0349864121526479,1.9710654733886183e-05
LCDD,with_noise_20,log_12_1687181931,300,300,5,[],"[969, 1263]",,,00:00:00,0.0406001908704638,2.2873346969275406e-05
LCDD,with_noise_20,log_12_1687181931,400,400,10,[],"[969, 1263]",,,00:00:00,0.0182161256670951,1.026260600963109e-05
LCDD,without_noise,log_12_1687181931,400,400,100,[],"[969, 1263]",,,00:00:00,0.0223411731421947,1.2586576418137886e-05
LCDD,with_noise_10,log_12_1687181931,400,400,150,[],"[969, 1263]",,,00:00:00,0.0166974756866693,9.407028555870056e-06
LCDD,without_noise,log_12_1687181931,400,400,20,[],"[969, 1263]",,,00:00:00,0.0221776515245437,1.2494451563123246e-05
LCDD,with_noise_20,log_12_1687181931,400,400,50,[],"[969, 1263]",,,00:00:00,0.0381569331511855,2.149686374714677e-05
LCDD,without_noise,log_12_1687181931,600,600,10,[],"[969, 1263]",,,00:00:00,0.0196449719369411,1.1067589823628816e-05
LCDD,without_noise,log_12_1687181931,600,600,100,[],"[969, 1263]",,,00:00:00,0.0196935525164008,1.1094959164169472e-05
LCDD,without_noise,log_12_1687181931,600,600,150,[],"[969, 1263]",,,00:00:00,0.020763898268342,1.1697970855403954e-05
LCDD,with_noise_10,log_12_1687181931,600,600,20,[],"[969, 1263]",,,00:00:00,0.0319163538515567,1.7981044423412268e-05
LCDD,with_noise_20,log_12_1687181931,600,600,200,[],"[969, 1263]",,,00:00:00,0.0304454015567898,1.7152338905233732e-05
LCDD,with_noise_20,log_12_1687181931,600,600,5,[],"[969, 1263]",,,00:00:00,0.0289261816069483,1.6296440341942747e-05
LCDD,with_noise_20,log_12_1687181931,800,800,150,[],"[969, 1263]",,,00:00:00,0.0239894185215234,1.351516536423858e-05
LCDD,with_noise_10,log_12_1687181931,800,800,20,[],"[969, 1263]",,,00:00:00,0.1636478286236524,9.21959597879732e-05
LCDD,with_noise_20,log_12_1687181931,800,800,200,[],"[969, 1263]",,,00:00:00,0.0241137854754924,1.358523125379858e-05
LCDD,without_noise,log_12_1687181931,800,800,5,[],"[969, 1263]",,,00:00:00,0.0163230178877711,9.196066415645708e-06
LCDD,with_noise_20,log_13_1687181932,100,100,10,"[122, 364]","[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1625492945313453,3.661020147102373e-05
LCDD,with_noise_20,log_13_1687181932,100,100,100,"[122, 364]","[627, 835, 1407, 2856, 3239]",,,00:00:00,0.160545595921576,3.615891800035496e-05
LCDD,with_noise_10,log_13_1687181932,100,100,150,"[156, 267, 433, 534, 641]","[627, 835, 1407, 2856, 3239]",0.4000000000000001,143.5,00:00:00,0.317120598629117,7.142355824980113e-05
LCDD,with_noise_10,log_13_1687181932,100,100,20,"[156, 267, 433, 534, 641]","[627, 835, 1407, 2856, 3239]",0.4000000000000001,143.5,00:00:00,0.1437313109636306,3.23719168837006e-05
LCDD,with_noise_20,log_13_1687181932,100,100,5,"[122, 364]","[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1585677955299615,3.571346746170306e-05
