Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,400,500,10,[],"[969, 1263]",,,00:00:01,1.734965800307691,0.0009774455213001
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,400,600,10,[],"[969, 1263]",,,00:00:01,1.3102752435952425,0.0007381832358283
Martjushev ADWIN J,with_noise_20,log_12_1687181931,0.4,400,700,10,[],"[969, 1263]",,,00:00:02,2.2436516573652625,0.0012640291027409
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,100,400,20,"[664, 1406, 2911, 3102]","[627, 835, 1407, 2856, 3239]",0.888888888888889,57.5,00:00:06,6.93288553878665,0.0015614607069339
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,100,500,10,"[646, 840, 1405, 2948, 3033]","[627, 835, 1407, 2856, 3239]",0.8000000000000002,29.5,00:00:08,8.677949994802475,0.0019544932420726
Martjushev ADWIN J,with_noise_10,log_13_1687181932,0.4,100,600,10,"[664, 1405, 2866, 3032]","[627, 835, 1407, 2856, 3239]",0.6666666666666665,16.333333333333332,00:00:11,11.474904985167086,0.0025844380597223
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,100,700,10,"[664, 1010, 1411, 2949, 3113]","[627, 835, 1407, 2856, 3239]",1.0,87.0,00:00:10,10.21991936210543,0.0023017836401138
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,200,400,20,"[664, 1080, 2801, 3202]","[627, 835, 1407, 2856, 3239]",0.6666666666666665,43.0,00:00:06,6.979129134677351,0.0015718759312336
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,200,500,50,"[699, 1050, 1401, 2989, 3203]","[627, 835, 1407, 2856, 3239]",0.8000000000000002,61.75,00:00:06,6.984872542321682,0.0015731694915138
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,200,600,20,"[664, 1080, 2981]","[627, 835, 1407, 2856, 3239]",0.5,81.0,00:00:07,7.489145605824888,0.0016867445058164
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,200,700,10,"[664, 1010, 1411, 2974, 3113]","[627, 835, 1407, 2856, 3239]",1.0,92.0,00:00:09,9.60039881337434,0.0021622519849942
Martjushev ADWIN J,with_noise_10,log_13_1687181932,0.4,300,400,50,"[699, 1406, 2826, 3104]","[627, 835, 1407, 2856, 3239]",0.888888888888889,59.5,00:00:06,6.798219402320683,0.0015311304960181
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,300,500,20,"[664, 1406, 2873, 3106]","[627, 835, 1407, 2856, 3239]",0.888888888888889,47.0,00:00:05,5.926943583413959,0.0013348972034716
Martjushev ADWIN J,with_noise_10,log_13_1687181932,0.4,300,600,20,"[664, 1406, 2886, 3104]","[627, 835, 1407, 2856, 3239]",0.888888888888889,50.75,00:00:07,7.657496442086995,0.0017246613608304
Martjushev ADWIN J,with_noise_20,log_13_1687181932,0.4,300,700,50,"[699, 1100, 2976]","[627, 835, 1407, 2856, 3239]",0.5,96.0,00:00:03,3.712546712718904,0.0008361591695312
Martjushev ADWIN J,with_noise_10,log_13_1687181932,0.4,400,400,50,"[699, 1406, 2851, 3202]","[627, 835, 1407, 2856, 3239]",0.888888888888889,28.75,00:00:06,6.692078247666359,0.0015072248305554
Martjushev ADWIN J,with_noise_10,log_13_1687181932,0.4,400,500,50,"[699, 1406, 2888, 3202]","[627, 835, 1407, 2856, 3239]",0.888888888888889,35.5,00:00:05,5.979073948226869,0.0013466382766276
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,400,600,10,"[699, 1406, 2883, 3032]","[627, 835, 1407, 2856, 3239]",0.6666666666666665,33.333333333333336,00:00:04,4.521279122680426,0.0010183061087118
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,400,700,20,"[699, 1406, 2913, 3202]","[627, 835, 1407, 2856, 3239]",0.888888888888889,41.75,00:00:05,5.953646840527654,0.0013409114505692
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,100,400,20,[1177],[1179],1.0,2.0,00:00:02,2.241616824641824,0.0011987255746747
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,100,500,20,[1177],[1179],1.0,2.0,00:00:02,2.3488615741953254,0.0012560757081258
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,100,600,50,[1175],[1179],1.0,4.0,00:00:01,1.9111131159588692,0.0010219856235074
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,100,700,50,[1176],[1179],1.0,3.0,00:00:01,1.970104403793812,0.0010535317667346
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,200,400,50,[1177],[1179],1.0,2.0,00:00:01,1.8582540936768053,0.000993718766672
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,200,500,20,[1177],[1179],1.0,2.0,00:00:01,1.7787445951253176,0.0009512003182488
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,200,600,10,[1175],[1179],1.0,4.0,00:00:02,2.679529749788344,0.0014329036095124
Martjushev ADWIN J,without_noise,log_14_1687181933,0.4,200,700,20,[1177],[1179],1.0,2.0,00:00:01,1.8070282554253936,0.0009663252702809
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,300,400,50,[1177],[1179],1.0,2.0,00:00:01,1.809352922253311,0.000967568407622
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,300,500,20,[1177],[1179],1.0,2.0,00:00:01,1.0842637615278363,0.0005798201933303
Martjushev ADWIN J,without_noise,log_14_1687181933,0.4,300,600,10,[1177],[1179],1.0,2.0,00:00:01,1.9407754493877287,0.0010378478338971
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,300,700,10,[1175],[1179],1.0,4.0,00:00:02,2.4005692256614566,0.0012837268586424
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,400,400,50,[1177],[1179],1.0,2.0,00:00:01,1.7049006456509233,0.0009117115752143
Martjushev ADWIN J,without_noise,log_14_1687181933,0.4,400,500,50,[1177],[1179],1.0,2.0,00:00:01,1.3881012154743075,0.0007423001152269
Martjushev ADWIN J,with_noise_20,log_14_1687181933,0.4,400,600,20,[1175],[1179],1.0,4.0,00:00:01,1.8811410861089823,0.0010059578000582
Martjushev ADWIN J,with_noise_10,log_14_1687181933,0.4,400,700,20,[1177],[1179],1.0,2.0,00:00:01,1.7094320552423596,0.0009141347888996
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,100,400,10,"[1011, 1250]","[957, 1345]",1.0,74.5,00:00:04,4.793090729042888,0.0018231611749877
Martjushev ADWIN J,with_noise_10,log_15_1687181933,0.4,100,500,20,"[379, 920, 1131]","[957, 1345]",0.4,37.0,00:00:03,3.908903330564499,0.0014868403691763
Martjushev ADWIN J,with_noise_20,log_15_1687181933,0.4,100,600,20,"[259, 940, 1181]","[957, 1345]",0.8,90.5,00:00:02,2.4768772134557366,0.0009421366350154
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,100,700,10,"[961, 1250]","[957, 1345]",1.0,49.5,00:00:06,6.407266840338707,0.0024371498061387
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,200,400,10,"[1011, 1250]","[957, 1345]",1.0,74.5,00:00:02,2.051831366494298,0.0007804607708232
Martjushev ADWIN J,with_noise_10,log_15_1687181933,0.4,200,500,20,"[379, 1110, 1261]","[957, 1345]",0.8,118.5,00:00:03,3.868670194409788,0.00147153677992
Martjushev ADWIN J,with_noise_10,log_15_1687181933,0.4,200,600,20,"[379, 1110, 1261]","[957, 1345]",0.8,118.5,00:00:03,3.792319913394749,0.0014424952123981
Martjushev ADWIN J,with_noise_20,log_15_1687181933,0.4,200,700,20,"[259, 940, 1281]","[957, 1345]",0.8,40.5,00:00:04,4.017153288237751,0.0015280157049211
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,300,400,20,"[1059, 1190]","[957, 1345]",1.0,128.5,00:00:03,3.605132272467017,0.0013712941317866
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,300,500,50,"[1024, 1247]","[957, 1345]",1.0,82.5,00:00:03,3.2262713061645627,0.0012271857383661
Martjushev ADWIN J,with_noise_10,log_15_1687181933,0.4,300,600,50,"[961, 1250]","[957, 1345]",1.0,49.5,00:00:03,3.4018892627209425,0.0012939860261395
Martjushev ADWIN J,with_noise_20,log_15_1687181933,0.4,300,700,10,"[309, 995]","[957, 1345]",0.5,38.0,00:00:04,4.82924045715481,0.0018369115470349
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,400,400,50,"[1011, 1250]","[957, 1345]",1.0,74.5,00:00:02,2.8812325727194548,0.0010959424011865
Martjushev ADWIN J,with_noise_10,log_15_1687181933,0.4,400,500,50,"[1024, 1250]","[957, 1345]",1.0,81.0,00:00:03,3.6615001801401377,0.0013927349487029
